A1DKVUTOBPQH11,InstructionQuestions,1,1,1,1,1,1,1,1,1,0
A1DKVUTOBPQH11,InstructionQuestions,1,1,1,1,1,1,1,1,1,1

A1DKVUTOBPQH11,0,5,1,1568952537645,0,Clear path,,P0:;P1:;P2:,2 3 3 4 3 2 2 2 1 4,,P0:50;P1:50;P2:50;,03:03
A1DKVUTOBPQH11,0,5,1,1568952544263,0,Added cell 3-4-true,,P0:;P1:;P2:,2 3 4 3 2 2 2 1 4 ,,P0:45;P1:50;P2:50;,02:56
A1DKVUTOBPQH11,0,5,1,1568952545346,0,Added cell 3-3-true,,P0:;P1:;P2:,3 4 3 2 2 2 1 4 ,,P0:40;P1:50;P2:50;,02:55
A1DKVUTOBPQH11,0,5,1,1568952545705,0,Added cell 2-3-true,,P0:;P1:;P2:,3 4 3 2 2 1 4 ,,P0:35;P1:50;P2:50;,02:55
A1DKVUTOBPQH11,0,5,1,1568952547625,0,Added cell 1-3-true,,P0:;P1:;P2:,3 4 3 2 2 4 ,,P0:30;P1:50;P2:50;,02:53
A1DKVUTOBPQH11,0,5,1,1568952548030,0,Added cell 1-2-true,,P0:;P1:;P2:,3 3 2 2 4 ,,P0:25;P1:50;P2:50;,02:52
A1DKVUTOBPQH11,0,5,1,1568952549648,0,Added cell 0-2-true,,P0:;P1:;P2:,3 3 2 4 ,,P0:170;P1:50;P2:50;,02:51
A1DKVUTOBPQH11,0,5,1,1568952571321,0,Motivation: My chip distribution was enough to meet the goal where I didn't have to borrow chips from any other player.,,P0:;P1:;P2:,3 3 2 4 ,,P0:170;P1:50;P2:50;,02:29
A1DKVUTOBPQH11,0,5,1,1568952571321,0,Ending game,,P0:;P1:;P2:,3 3 2 4 ,,P0:170;P1:50;P2:50;,02:29
A1DKVUTOBPQH11,0,3,2,1568952572833,0,Starting new game,,P0:;P1:;P2:,3 2 2 2 4 4 2 3 2 4,,P0:50;P1:50;P2:50;,02:29

A1DKVUTOBPQH11,0,3,2,1568952589750,0,Added cell 1-2-true,,P0:;P1:;P2:,3 2 2 4 4 2 3 2 4 ,,P0:45;P1:50;P2:50;,03:45
A1DKVUTOBPQH11,0,3,2,1568952590423,0,Added cell 2-2-true,,P0:;P1:;P2:,3 2 4 4 2 3 2 4 ,,P0:40;P1:50;P2:50;,03:44
A1DKVUTOBPQH11,0,3,2,1568952590796,0,Added cell 2-1-true,,P0:;P1:;P2:,3 4 4 2 3 2 4 ,,P0:35;P1:50;P2:50;,03:44
A1DKVUTOBPQH11,0,3,2,1568952591698,0,Added cell 3-1-true,,P0:;P1:;P2:,3 4 4 3 2 4 ,,P0:30;P1:50;P2:50;,03:43
A1DKVUTOBPQH11,0,3,2,1568952596842,0,Added cell 4-1-true,,P0:;P1:;P2:,3 4 3 2 4 ,,P0:25;P1:50;P2:50;,03:37
