PlayerID,Condition,GameID,CurrentGame,Timestamp,CurrentPlayer,Action,ChipsRequested,ChipsRequestedPlayers,ExtraChips,NeededChips,Score,TimeRemaining

undefined,localEx,6,0,1553140433459,0,Added cell 7-2-true,,P0:;P1:;P2:;P3:;P4:;P5:,7 9 7 2 , ,120,02:46
undefined,localEx,6,0,1553140435359,0,Clear path,,P0:;P1:;P2:;P3:;P4:;P5:,7 9 7 2 3 3 9 5 1 2 6 2 6 7 10 , ,75,02:44
undefined,localEx,6,0,1553140443346,0,Restore suggested path,,P0:;P1:;P2:;P3:;P4:;P5:,7 7 2 9 , ,120,02:36
undefined,localEx,6,0,1553140445476,0,Clear path,,P0:;P1:;P2:;P3:;P4:;P5:,7 7 2 9 3 3 9 5 1 6 2 6 7 10 2 , ,75,02:34
undefined,localEx,6,0,1553140446380,0,Restore suggested path,,P0:;P1:;P2:;P3:;P4:;P5:,7 7 2 9 , ,120,02:33
undefined,localEx,6,0,1553140599107,0,Time is up!,,P0:;P1:;P2:;P3:;P4:;P5:,7 7 2 9 , ,120,00:00
undefined,localEx,8,1,1553140599188,0,Starting new game,,P0:;P1:;P2:;P3:;P4:;P5:,10 4 4 4 4 1 2 2 5 5 , ,150,00:00


1553151197641,,2,0,1553152077239,0,Read new file,,P0:;P1:;P2:;P3:;P4:;P5:,-,-,NaN,undefined:undefined
1553151197641,,2,0,1553152079672,0,Clear path,,P0:;P1:;P2:;P3:;P4:;P5:,4 4 4 4 4,  ,25,02:59
1553151197641,,2,0,1553152080737,0,Denied adding cell 2-3-false,,P0:;P1:;P2:;P3:;P4:;P5:,4 4 4 4 4, ,25,02:58
1553151197641,,2,0,1553152084974,0,Restore suggested path,1 1 1 1,P0:;P1:1,1;P2:1,1;P3:;P4:;P5:,4 4 4 4 4,2 2 2 2 ,-39,02:54
1553151197641,,2,0,1553152087628,0,Clear path,,P0:;P1:;P2:;P3:;P4:;P5:,4 4 4 4 4,  ,25,02:51
